year;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
degr;0;3,005044;16,26213;25,87125;33,38939;39,59188;44,91306;49,63202;53,94046;57,97449;61,83179;65,59016;69,30422;73,01124;76,73565;80,49223;84,28878;88,12801;92,00916;95,92906
degrLand;0;0,3906558;2,114077;3,363263;4,340621;5,146945;5,838697;6,452163;7,01226;7,536685;8,038134;8,526721;9,009549;9,491461;9,975635;10,46399;10,95754;11,45664;11,96119;12,47078
degrSea;0;0,7512611;4,065533;6,467813;8,347348;9,89797;11,22826;12,40801;13,48512;14,49362;15,45795;16,39754;17,32606;18,25281;19,18391;20,12306;21,0722;22,032;23,00229;23,98227
budget;1000;2226;3150,77;3683,876;3966,929;4128,017;4196,828;4196,523;4145,125;4056,61;3941,784;3813,317;3675,611;3532,162;3385,732;3238,485;3092,1;2947,867;2806,756;2669,488
moneySpend;100;100;222,6;315,077;368,3876;396,693;412,8016;419,6828;419,6522;414,5124;405,661;394,1784;381,3318;367,561;353,2162;338,5732;323,8486;309,21;294,7866;280,6756
moneyLeft;900;900;2003,4;2835,693;3315,489;3570,236;3715,215;3777,145;3776,871;3730,612;3650,949;3547,605;3431,985;3308,05;3178,946;3047,159;2914,636;2782,89;2653,08;2526,081
incomeSum;3500;3570;2912;1999,428;1399,845;1096,516;858,1479;670,9953;524,1847;409,1225;319,0237;259,4726;210,981;171,5071;139,3835;113,2491;91,99314;74,70959;60,65972;49,24142
capitalSum;2750;2300;2062,6;1965,157;1940,513;1949,103;1972,084;1997,35;2017,532;2028,538;2028,492;2016,972;1994,909;1963,488;1924,007;1877,779;1826,072;1770,067;1710,84;1649,348
incomeSumPerHum;10;5,69378;4,444343;2,940147;1,993577;1,514213;1,150457;0,8743148;0,6646067;0,5052951;0,3842315;0,3047473;0,2416407;0,1915522;0,1518081;0,1202809;0,09527866;0,07545619;0,05974441;0,04729397
population;600;627;655,215;680,0434;702,1778;724,149;745,9194;767,4527;788,7141;809,6705;830,2903;851,4352;873,1186;895,3542;918,1561;941,5387;965,5168;990,1055;1015,32;1041,177
employmentRate;25;29,70494;23,1653;18,43477;14,93873;12,27314;10,22371;8,633048;7,38535;6,395298;5,599901;4,947362;4,405531;3,950048;3,562438;3,228668;2,938057;2,682449;2,455588;2,252653
unemploymentRate;75;70,29506;76,8347;81,56522;85,06127;87,72686;89,77629;91,36695;92,61465;93,6047;94,4001;95,05264;95,59447;96,04995;96,43756;96,77133;97,06194;97,31755;97,54441;97,74734
jobsAmSum;60;74,5;60,713;50,14579;41,95857;35,55032;30,50426;26,50182;23,29972;20,71234;18,59818;16,84943;15,3862;14,14677;13,0835;12,15966;11,34697;10,62363;9,972836;9,381646
jobsReqSum;60;74,5;60,713;50,14579;41,95857;35,55032;30,50426;26,50182;23,29972;20,71234;18,59818;16,84943;15,3862;14,14677;13,0835;12,15966;11,34697;10,62363;9,972836;9,381646
ablePopSum;240;250,8;262,086;272,0174;280,8711;289,6596;298,3677;306,9811;315,4857;323,8682;332,1161;340,5741;349,2474;358,1417;367,2625;376,6155;386,2067;396,0422;406,1282;416,471
lifespan;75;75;63,15578;54,24747;52,15015;50,10574;48,11361;46,17317;44,28379;42,44484;42,44484;42,44484;42,44484;42,44484;42,44484;42,44484;42,44484;42,44484;42,44484;42,44484
humDevInd;50;50,31842;41,29963;33,83336;30,50737;28,09542;26,06242;24,31919;22,79931;21,45317;21,03088;20,71063;20,44852;20,2321;20,05172;19,89996;19,77106;19,66054;19,56494;19,48153
qualityOfEnv;1;1;0,8420771;0,7232996;0,6953353;0,6680765;0,6415148;0,6156422;0,5904505;0,5659313;0,5659313;0,5659313;0,5659313;0,5659313;0,5659313;0,5659313;0,5659313;0,5659313;0,5659313;0,5659313
pop_inc;0;4,5;4,5;3,789347;3,254848;3,129009;3,006344;2,886817;2,77039;2,657027;2,546691;2,546691;2,546691;2,546691;2,546691;2,546691;2,546691;2,546691;2,546691;2,546691
